circulating_supply,market_cap,name,price,rank,symbol,volume_24h
"18,585,725 BTC","$533,646,795,280",Bitcoin,"$28,712.72",1,BTC,"$49,507,873,196"
"114,048,306 ETH","$84,817,080,357",Ethereum,$743.69,2,ETH,"$15,818,656,013"
"20,888,059,476 USDT *","$20,885,704,117",Tether,$0.999887,3,USDT,"$71,860,246,109"
"45,404,028,640 XRP *","$9,711,479,662",XRP,$0.213890,4,XRP,"$10,054,115,017"
"66,203,843 LTC","$8,456,031,602",Litecoin,$127.73,5,LTC,"$8,189,288,573"
"18,600,863 BCH","$6,584,820,082",Bitcoin Cash,$354.01,6,BCH,"$5,023,785,887"
"894,891,599 DOT *","$6,464,946,442",Polkadot,$7.22,7,DOT,"$2,288,384,003"
"31,112,484,646 ADA","$5,592,797,255",Cardano,$0.179761,8,ADA,"$1,925,478,984"
"144,406,561 BNB *","$5,395,194,897",Binance Coin,$37.36,9,BNB,"$518,026,225"
"398,509,556 LINK *","$4,435,778,447",Chainlink,$11.13,10,LINK,"$1,567,358,182"
"3,676,635,989 USDC *","$3,677,114,589",USD Coin,$1.00,11,USDC,"$1,164,991,386"
"115,711 WBTC *","$3,311,898,311",Wrapped Bitcoin,"$28,622.17",12,WBTC,"$99,223,073"
"18,611,414 BSV","$3,093,556,848",Bitcoin SV,$166.22,13,BSV,"$537,222,210"
"21,905,716,158 XLM *","$2,909,489,219",Stellar,$0.132819,14,XLM,"$578,454,896"
"17,799,921 XMR","$2,822,983,481",Monero,$158.60,15,XMR,"$1,108,173,881"
"939,052,033 EOS *","$2,433,084,952",EOS,$2.59,16,EOS,"$2,569,611,725"
"71,659,657,369 TRX *","$1,928,877,956",TRON,$0.026917,17,TRX,"$1,052,695,848"
"8,999,999,999 XEM *","$1,909,881,167",NEM,$0.212209,18,XEM,"$78,131,793"
"1,000,000,000 THETA *","$1,551,103,440",THETA,$1.55,19,THETA,"$89,130,932"
"755,138,969 XTZ *","$1,504,878,906",Tezos,$1.99,20,XTZ,"$173,953,961"
